자차차, 90, 162
마하바, 54, 157
카나라, 86, 141
파파다, 64, 195
가하차, 91, 186
바아라, 81, 140
마바바, 82, 185
다파마, 73, 195
파라마, 81, 159
라가차, 46, 168
카아사, 62, 177
바사나, 87, 199
카라나, 72, 197
가가마, 43, 144
하다라, 83, 147
마다라, 95, 162
사파카, 41, 174
다라바, 50, 146
가자바, 90, 146
자마라, 53, 141
카타마, 85, 155
차사차, 95, 163
아마타, 65, 168
타다나, 61, 177
하사마, 68, 192
가다나, 92, 179
파하다, 47, 184
나나자, 75, 159
파다하, 79, 197
자자가, 48, 192
라라하, 49, 195
자나하, 77, 172
아가파, 89, 167
나카아, 82, 149
사자타, 40, 144
카아바, 48, 179
아파바, 90, 193
아마라, 96, 181
자아하, 61, 167
차가다, 65, 178
가파마, 87, 167
가카사, 90, 181
다카차, 79, 197
사라마, 98, 170
다사라, 58, 140
사가자, 70, 140
바파라, 70, 159
마다라, 57, 183
바가카, 63, 151
차카다, 48, 177
다차자, 61, 147
가자아, 65, 184
자나타, 48, 152
바마가, 60, 188
카라가, 40, 175
자사하, 76, 173
마파파, 91, 167
파차라, 43, 174
하나나, 86, 140
파사라, 70, 178
파가타, 41, 175
자타나, 66, 157
차자다, 54, 170
라하다, 52, 184
하가자, 93, 167
라다하, 83, 165
자사나, 85, 160
마카카, 49, 162
사마차, 82, 187
자아하, 41, 162
자마라, 94, 179
자사바, 62, 154
가바바, 63, 196
카파라, 77, 188
하마바, 96, 192
카다아, 77, 191
다아하, 90, 184
사마바, 53, 186
자바자, 52, 156
나바아, 51, 158
아차가, 56, 174
다마카, 68, 168
카라마, 78, 155
파차자, 81, 162
카다바, 69, 175
자바타, 76, 169
하나바, 64, 198
타라하, 90, 178
차하타, 85, 141
다아파, 87, 197
하자자, 61, 162
다자아, 65, 167
마가하, 73, 157
사타파, 84, 186
가라사, 42, 151
바나다, 43, 187
하아가, 43, 185
사바바, 51, 159
카사바, 40, 152
파자타, 85, 160
카가타, 99, 167
카가마, 89, 185
자바파, 73, 192
하아나, 72, 162
사바파, 77, 166
라카마, 65, 159
타타자, 85, 171
파사하, 40, 168
파사사, 76, 177
자나자, 48, 142
아다차, 51, 187
나마사, 96, 160
다타마, 79, 190
자차자, 57, 183
차자아, 58, 142
라라다, 72, 157
가파차, 50, 164
아마카, 70, 169
타아나, 67, 166
카타타, 55, 186
마파차, 83, 144
차가바, 94, 148
카아카, 77, 170
나자타, 91, 191
자아사, 46, 181
타바바, 42, 163
사아사, 88, 152
다가하, 50, 154
나바타, 99, 197
아마다, 95, 190
자사타, 77, 182
사타아, 50, 143
다자차, 98, 187
자라가, 61, 166
마차바, 96, 181
라사파, 68, 169
하파마, 48, 164
타카자, 50, 141
카타자, 59, 175
파마마, 67, 162
자가파, 67, 149
다마아, 51, 151
나마아, 73, 142
아마자, 95, 171
타가자, 93, 160
나카라, 54, 155
가다자, 66, 180
가마타, 86, 153
나자파, 95, 179
나자차, 90, 151
라하가, 83, 148
사바사, 87, 191
다카아, 66, 152
바차사, 54, 192
카가바, 60, 161
사카다, 73, 162
파라차, 72, 192
나아카, 77, 180
차카가, 63, 176
라나마, 49, 151
타마아, 84, 196
자하카, 76, 178
